Player,Team,W,L,W/L%,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Prob%,ScrapeDate
Nikola Jokić,DEN,8,1,.889,9,9,34.2,11.9,19.1,.622,1.4,4.3,.333,10.4,14.8,.707,.660,3.9,5.4,.714,3.1,9.8,12.9,8.0,1.1,0.8,3.4,2.1,29.1,65.1%,2023-11-11
Joel Embiid,PHI,7,1,.875,8,8,33.9,10.9,21.3,.512,1.4,3.6,.379,9.5,17.6,.539,.544O,8.8,10.4,.843,2.9,8.6,11.5,5.5,0.6,2.3,3.9,2.5,31.9,16.1%,2023-11-11
Luka Dončić,DAL,7,2,.778,9,9,36.7,11.2,21.7,.518,4.3,10.4,.415,6.9,11.2,.614,.618,6.1,7.8,.786,0.7,8.2,8.9,8.4,1.3,0.6,4.4,2.1,32.9,8.4%,2023-11-11
Tyrese Maxey,PHI,7,1,.875,8,8,37.8,9.1,19.0,.480,3.0,7.6,.393,6.1,11.4,.538,.559,4.6,5.0,.925,0.6,4.6,5.3,7.5,1.1,0.8,1.0,1.9,25.9,7.4%,2023-11-11
Tyrese Haliburton,IND,6,3,.667,8,8,32.8,8.3,16.4,.504,3.0,7.5,.400,5.3,8.9,.592,.595,4.1,4.4,.943,0.5,3.8,4.3,11.6,0.9,0.6,2.6,1.3,23.6,1.1%,2023-11-11
Nikola Jokić,DEN,9,3,.750,12,12,34.8,11.5,20.1,.573,1.5,5.0,.300,10.0,15.1,.663,.610,5.2,6.3,.816,3.3,10.8,14.1,9.2,1.0,0.8,3.5,2.2,29.7,77.9%,2023-11-18
Joel Embiid,PHI,9,3,.750,12,12,34.3,10.7,21.1,.506,1.1,3.5,.310,9.6,17.6,.545,.532,9.5,10.8,.884,3.3,7.8,11.1,6.0,1.0,1.6,3.8,2.7,31.9,9.0%,2023-11-18
Tyrese Haliburton,IND,7,4,.636,10,10,33.7,8.6,16.3,.528,3.4,7.8,.436,5.2,8.5,.612,.632,4.1,4.4,.932,0.5,3.7,4.2,12.5,1.1,0.7,2.1,1.1,24.7,4.5%,2023-11-18
Tyrese Maxey,PHI,9,3,.750,12,12,38.3,9.4,19.6,.481,3.3,7.5,.433,6.2,12.1,.510,.564,4.8,5.1,.951,0.7,4.3,5.0,6.8,0.9,0.8,1.5,1.9,26.9,2.1%,2023-11-18
Luka Dončić,DAL,9,3,.750,12,12,34.8,10.3,20.6,.502,4.2,9.9,.420,6.2,10.7,.578,.603,5.8,7.7,.761,0.7,7.1,7.8,8.1,1.1,0.4,4.4,1.8,30.7,2.1%,2023-11-18
